央视移动,#genre#
山东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225843/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227236/1.m3u8

湖北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225840/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227111/1.m3u8

安徽卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225844/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227178/1.m3u8

天津卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225830/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227205/1.m3u8

重庆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225831/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227240/1.m3u8

江西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225834/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227209/1.m3u8

深圳卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225848/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227242/1.m3u8

河北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227063/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225837/1.m3u8

河南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227095/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225842/1.m3u8

海南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227216/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225855/1.m3u8

黑龙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225862/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227197/1.m3u8

吉林卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227099/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225851/1.m3u8

四川卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227182/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225835/1.m3u8

云南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227181/1.m3u8

广西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227250/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225836/1.m3u8

甘肃卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227262/1.m3u8

贵州卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227201/1.m3u8

宁夏卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225849/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227254/1.m3u8

山西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227258/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225839/1.m3u8

陕西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225850/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227221/1.m3u8

青海卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225841/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227119/1.m3u8

厦门卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226964/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/1.m3u8

内蒙古卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225846/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227244/1.m3u8

新疆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225852/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227248/1.m3u8

西藏卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227217/1.m3u8

四川康巴卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225856/1.m3u8

广东南方卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227214/1.m3u8

新疆兵团卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227168/1.m3u8

海南三沙卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227172/1.m3u8

北京纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225944/1.m3u8

上海纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225946/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227213/1.m3u8

金鹰纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226975/1.m3u8

省内移动,#genre#

凤凰资讯,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227226/1.m3u8

凤凰中文,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227222/1.m3u8

海峡卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227198/1.m3u8

福建综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227149/1.m3u8

福建新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227180/1.m3u8

福建电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227079/1.m3u8

福建经济,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227184/1.m3u8

福建旅游,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227190/1.m3u8

福建少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227194/1.m3u8

福建体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227188/1.m3u8

福建公共,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227153/1.m3u8

福建教育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227202/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226981/1.m3u8

厦门1套,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226814/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227185/1.m3u8

厦门2套,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226777/1.m3u8

